gene_id_a	gene_symbol_a	gene_id_b	gene_symbol_b
3064	HTT_(wt)	3303	HSPA1A
3064	HTT_(wt)	3306	HSPA2
3064	HTT_(wt)	3312	HSPA8
3064	HTT_(wt)	3315	HSPB1
3064	HTT_(wt)	3329	HSPD1
3064	HTT_(wt)	3338	DNAJC4
3064	HTT_(wt)	3351	HTR1B
3064	HTT_(wt)	3354	HTR1E
3064	HTT_(wt)	3398	ID2
3064	HTT_(wt)	3480	IGF1R
3064	HTT_(wt)	3487	IGFBP4
3064	HTT_(wt)	3603	IL16
3064	HTT_(wt)	3611	ILK
3064	HTT_(wt)	3612	IMPA1
3064	HTT_(wt)	3615	IMPDH2
3064	HTT_(wt)	3737	KCNA2
3064	HTT_(wt)	3778	KCNMA1
3064	HTT_(wt)	3827	KNG1
3064	HTT_(wt)	3831	KLC1
3064	HTT_(wt)	3837	KPNB1
3064	HTT_(wt)	3838	KPNA2
3064	HTT_(wt)	3839	KPNA3
3064	HTT_(wt)	3843	IPO5
3064	HTT_(wt)	3845	KRAS
3064	HTT_(wt)	3856	KRT8
3064	HTT_(wt)	3861	KRT14
3064	HTT_(wt)	3872	KRT17
3064	HTT_(wt)	3880	KRT19
3064	HTT_(wt)	3884	KRT33B
3064	HTT_(wt)	3939	LDHA
3064	HTT_(wt)	3945	LDHB
3064	HTT_(wt)	3949	LDLR
3064	HTT_(wt)	4045	LSAMP
3064	HTT_(wt)	4077	NBR1
3064	HTT_(wt)	4087	SMAD2
3064	HTT_(wt)	4088	SMAD3
3064	HTT_(wt)	4102	MAGEA3
3064	HTT_(wt)	4140	MARK3
3064	HTT_(wt)	4143	MAT1A
3064	HTT_(wt)	4150	MAZ
3064	HTT_(wt)	4190	MDH1
3064	HTT_(wt)	4204	MECP2
3064	HTT_(wt)	4209	MEF2D
3064	HTT_(wt)	4217	MAP3K5
3064	HTT_(wt)	4222	MEOX1
3064	HTT_(wt)	4306	NR3C2
3064	HTT_(wt)	4331	MNAT1
3064	HTT_(wt)	4332	MNDA
3064	HTT_(wt)	4340	MOG
3064	HTT_(wt)	4488	MSX2
3064	HTT_(wt)	4502	MT2A
3064	HTT_(wt)	4504	MT3
3064	HTT_(wt)	4521	NUDT1
3064	HTT_(wt)	4552	MTRR
3064	HTT_(wt)	4593	MUSK
3064	HTT_(wt)	4594	MUT
3064	HTT_(wt)	4627	MYH9+PKC-alpha WT
3064	HTT_(wt)	4653	MYOC
3064	HTT_(wt)	4674	NAP1L2
3064	HTT_(wt)	4684	NCAM1
3064	HTT_(wt)	4692	NDN
3064	HTT_(wt)	4702	NDUFA8
3064	HTT_(wt)	4704	NDUFA9
3064	HTT_(wt)	4711	NDUFB5
3064	HTT_(wt)	4715	NDUFB9
3064	HTT_(wt)	4716	NDUFB10
3064	HTT_(wt)	4719	NDUFS1
3064	HTT_(wt)	4722	NDUFS3
3064	HTT_(wt)	4723	NDUFV1
3064	HTT_(wt)	4728	NDUFS8
3064	HTT_(wt)	4729	NDUFV2
3064	HTT_(wt)	4733	DRG1
3064	HTT_(wt)	4747	NEFL
3064	HTT_(wt)	4760	NEUROD1
3064	HTT_(wt)	4790	NFKB1
3064	HTT_(wt)	4793	NFKBIB
3064	HTT_(wt)	4804	NGFR
3064	HTT_(wt)	4833	NME4
3064	HTT_(wt)	4855	NOTCH4
3064	HTT_(wt)	4900	NRGN
3064	HTT_(wt)	4905	NSF
3064	HTT_(wt)	4915	NTRK2
3064	HTT_(wt)	4967	OGDH
3064	HTT_(wt)	4978	OPCML
